Welche Aufgabe hat ein Interrupt-Controller?	Ein Interrupt-Controller erzeugt aus einem IRQ (einer Interruptanforderung) eine<br>Unterbrechung der CPU, die mit Hilfe eines passenden Programmstücks (einer ISR) bearbeitet werden muss.
Was ist in der Prozessverwaltung ein PCB, wozu dient er und welche Inhalte hat er?	Ein Eintrag in der Prozesstabelle heißt Process Control Block (PCB).<br><br>Der PCB enthält Information zur Identifikation des Prozesses, die Information zum aktuellen Prozesszustand sowie Informationen zu sonstigen Ressourcen, die dem Prozess zugeordnet sind (Dateien, offene Netzwerkverbindungen).
Nennen Sie dabei drei wichtige Informationen, die im PCB verwaltet werden.	<ul><li>Prozesszustand<br></li><li>Dateien<br></li><li>offene Netzwerkverbindungen<br></li><li>Programmzähler<br></li><li>Prozessnummer<br></li><li>Registerinhalte<br></li></ul>
Was versteht man unter einem Thread? Wie verhalten sich Threads zu Prozessen im Hinblick auf die Nutzung des Prozessadressraums?	Ein Thread stellt eine nebenläufige Ausführungseinheit innerhalb eines Prozesses dar.&nbsp;Threads werden&nbsp;als leichtgewichtige&nbsp;Prozesse oder kurz LWP bezeichnet.<br><br>Threads erhalten den vollen Zugriff auf den zugehörigen Prozessadressraum.
Beschreiben Sie den groben Ablauf eines Prozess-Kontextwechsel.	<ol><li>Aktiver Prozess unterbrochen<br></li><li>Prozesskontext wird gesichert<br></li><li>Prozesskontext&nbsp;des neu aktivierten Prozesses wird geladen</li></ol>
Erläutern Sie, warum ein Thread-Kontextwechsel schneller sein kann als<br>ein Prozess-Kontextwechsel	Ein Thread-Kontextwechsel innerhalb des laufenden Prozesses kann schneller sein als ein Prozess-Kontextwechsel, weil meist Speicherbereiche des gleichen Prozesses verwendet werden.
Was bedeutet eine 1:n-Beziehung zwischen den Betriebsmitteln Prozess und Thread?	Ein Prozess kann mehrere Threads beherbergen. 1:n-Beziehungen, bei denen ein Prozess nahezu beliebig viele Threads enthalten kann, sind heute in Betriebssystemen üblich.
Warum ist der Einsatz von Threads sinnvoll?	Threads sind leichtgewichtiger als Prozesse. Ein Thread-Kontextwechsel innerhalb des laufenden Prozesses kann schneller sein als ein Prozess-Kontextwechsel, weil meist Speicherbereiche des gleichen Prozesses verwendet werden.
Beschreiben Sie einen einfachen Zustandsautomaten eines Prozesses.	Ein einfacher Zustandsautomat für einen Prozess hat vier Zustände:<br><ul><li>Bereit - Der Prozess ist zur Bearbeitung vorbereitet</li><li>Aktiv -&nbsp;Der Prozess hat eine CPU</li><li>Blockiert -&nbsp;Der Prozess wartet er auf Ressourcen</li><li>Beendet - Der Prozess existiert nicht mehr</li></ul>
Erläutern Sie die Prozesshierarchie unter Unix.	Baumartigen Prozessstruktur,&nbsp;init-Prozess der Urvater aller folgenden Prozesse.<br><ul><li>init-Prozess PID 1<br></li><li>peicherverwaltungs-Prozess (swapper) erhält die PID 0<br></li></ul>, ein S und ein anderer Speicherverwaltungsprozess (page) die PID 2.<br><br>Kindprozess erbt&nbsp;vom&nbsp;Elternprozess die gesamte Umgebung.<br>
Was ist ein Zombie-Prozess unter Unix?	Ein Zombie ist ein Prozess in einem speziellen Zustand. In diesen Zustand gelangt ein Prozess, der terminieren will. Er verweilt solange in diesem Zustand, bis der Elternprozess eine Nachricht über das Ableben des Kindprozesses erhalten hat und terminiert erst dann.
Welche Scheduling-Algorithmen sind für Echtzeitbetriebssysteme (Realtime-System) sinnvoll und warum?	Bekannte&nbsp;Scheduling-Algorithmen:<br><ul><li>Minimal Deadline First</li><li>Polled Loop<br></li><li>Interrupt-gesteuert</li></ul><div>Prozess mit der kleinsten nächsten Zeitschranke (deadline) als erstes ausgewählt.<br></div><div><br></div><div>Alle Ereignisquellen zyklisch nach einem anstehenden Ereignis abgefragt und dieses wird dann gleich bearbeitet.<br></div><div><br></div><div>Interrupt-gesteuerte Systeme warten in einer Warteschleife auf Interrupts von Ereignisquellen und führen dann die geeignete Interrupt-Service-Routine aus.<br></div><div><br></div><div>Es wird zwischen hard real time und soft real time unterschieden. Erstere müssen schnell reagieren, bei letzteren<br>ist eine gewisse Verzögerung zumutbar.<br></div>
